,DOW,INBOUND_FLIGHTS,OUTBOUND_FLIGHTS,DAILY_DELAY_LENGTH,DAILY_DELAY_COST,PROFIT
105,Thursday,1084.0,1086.0,15498.0,331803.26,5572179.279999999
106,Friday,1089.0,1090.0,7870.0,213006.9,5648866.0
107,Saturday,892.0,887.0,3256.0,103266.70000000001,4587966.429999999
108,Sunday,1052.0,1058.0,12604.0,311229.25,5530516.27
109,Monday,1077.0,1077.0,9709.0,259737.4,5628282.23
110,Tuesday,1071.0,1069.0,3499.0,129090.45,5553554.56
111,Wendsday,1069.0,1073.0,2718.0,73820.55,5514925.819999999
112,Thursday,1084.0,1085.0,3405.0,115676.25,5608912.399999999
113,Friday,1086.0,1089.0,4595.0,108162.6,5616511.709999999
114,Saturday,888.0,886.0,16021.0,349604.05,4463969.79
115,Sunday,1050.0,1055.0,3751.0,114615.0,5455534.85
116,Monday,1088.0,1087.0,4347.0,120883.45,5623741.98
117,Tuesday,1073.0,1070.0,2797.0,77527.85,5480993.55
118,Wendsday,1068.0,1070.0,4222.0,133915.6,5543041.3
119,Thursday,1090.0,1088.0,4835.0,126784.0,5613002.319999999
120,Friday,1102.0,1104.0,1923.0,57802.75000000001,5669166.709999999
121,Saturday,898.0,891.0,2401.0,89074.25,4615658.739999999
122,Sunday,1056.0,1061.0,2965.0,83534.45000000001,5465136.84
123,Monday,1105.0,1102.0,3979.0,120091.05,5711474.83
124,Tuesday,1081.0,1071.0,2091.0,67820.95000000001,5505643.039999999
125,Wendsday,1077.0,1079.0,4254.0,84291.55,5551490.56
126,Thursday,1103.0,1103.0,4159.0,142136.40999999997,5724748.06
127,Friday,1106.0,1108.0,5876.0,155848.1,5747289.619999999
128,Saturday,851.0,842.0,3220.0,82112.45000000001,4332762.629999999
129,Sunday,1004.0,1012.0,6438.0,176676.90000000002,5281226.98
130,Monday,1105.0,1104.0,8919.0,243125.30000000002,5825396.86
131,Tuesday,1084.0,1078.0,3695.0,111898.2,5560985.02
132,Wendsday,1084.0,1087.0,4006.0,109931.34999999999,5628751.079999999
133,Thursday,1103.0,1108.0,4527.0,126472.7,5746440.62
134,Friday,1108.0,1108.0,4371.0,109676.65000000001,5724776.97
135,Saturday,900.0,895.0,3723.0,91621.25,4609037.3
136,Sunday,1057.0,1065.0,6727.0,185414.46000000002,5547235.89
137,Monday,1082.0,1095.0,47412.0,812294.9000000001,5760361.75
138,Tuesday,1082.0,1077.0,7181.0,163863.89,5583985.84
139,Wendsday,1083.0,1090.0,3811.0,122666.35,5617544.85
140,Thursday,1105.0,1106.0,4523.0,124626.04000000001,5714496.699999999
141,Friday,1111.0,1111.0,3670.0,105771.25,5752454.94
142,Saturday,863.0,848.0,3686.0,134340.1,4422064.42
143,Sunday,842.0,843.0,2956.0,89937.40000000001,4351681.37
144,Monday,995.0,1020.0,24588.0,447451.3,5205724.1
145,Tuesday,936.0,996.0,80878.0,1181517.9100000001,4831034.63
146,Wendsday,1062.0,1079.0,11345.0,259680.8,5639715.81
147,Thursday,1097.0,1104.0,30058.0,524271.65,5629575.01
148,Friday,1109.0,1106.0,7072.0,184841.45,5756755.59
149,Saturday,901.0,896.0,2497.0,64580.6,4592015.039999999
150,Sunday,1038.0,1061.0,36205.0,649782.15,5404383.74
151,Monday,1093.0,1091.0,13879.0,309630.30000000005,5657858.39
152,Tuesday,1079.0,1077.0,7917.0,163927.75,5580016.579999999
153,Wendsday,1074.0,1085.0,12002.0,284938.55000000005,5548661.699999999
154,Thursday,1120.0,1123.0,4681.0,135514.55,5831895.319999999
155,Friday,1128.0,1127.0,6075.0,186482.85,5908277.78
156,Saturday,920.0,926.0,2347.0,65486.200000000004,4775178.339999999
157,Sunday,1091.0,1084.0,5099.0,131665.75,5622807.510000001
158,Monday,1125.0,1128.0,9916.0,263897.5,5925866.419999999
159,Tuesday,1030.0,1052.0,72467.0,1109756.2,5312109.88
160,Wendsday,1079.0,1105.0,11524.0,272090.35,5785140.299999999
161,Thursday,1101.0,1125.0,21169.0,425462.20000000007,5890632.350000001
162,Friday,1126.0,1128.0,9771.0,256695.15,5880855.27
163,Saturday,928.0,936.0,2786.0,83258.6,4828214.44
164,Sunday,1095.0,1088.0,9602.0,259666.65000000002,5700944.569999999
165,Monday,1105.0,1114.0,8797.0,219438.2,5835671.659999999
166,Tuesday,1100.0,1097.0,7158.0,206222.1,5753117.33
167,Wendsday,1107.0,1110.0,11459.0,241568.80000000002,5844104.299999999
168,Thursday,1121.0,1120.0,43008.0,746454.95,5931227.75
169,Friday,1136.0,1137.0,10224.0,274000.57,6000749.959999999
170,Saturday,928.0,938.0,9936.0,247440.99,4866858.53
171,Sunday,1088.0,1087.0,9700.0,268538.7,5739022.029999999
172,Monday,1127.0,1130.0,10739.0,288759.05,5992272.749999999
173,Tuesday,1106.0,1102.0,9472.0,274722.25,5802034.829999999
174,Wendsday,966.0,1032.0,75570.0,848816.05,5101256.93
175,Thursday,1107.0,1127.0,11440.0,302979.8,5942817.93
176,Friday,1137.0,1137.0,11111.0,268213.25,5877149.68
177,Saturday,926.0,942.0,33775.0,608195.3,4948688.68
178,Sunday,1088.0,1083.0,3854.0,125963.3,5607030.069999999
179,Monday,1128.0,1128.0,4556.0,138096.84999999998,5855632.97
180,Tuesday,1085.0,1089.0,11108.0,242318.71000000002,5616752.299999999
181,Wendsday,1087.0,1100.0,38919.0,610289.5,5460778.9
182,Thursday,1134.0,1135.0,14402.0,365933.15,5995584.8
183,Friday,847.0,862.0,27531.0,464827.5,4416407.08
184,Saturday,768.0,775.0,2277.0,67778.5,3987362.5499999993
185,Sunday,1099.0,1101.0,6821.0,201722.40000000002,5754731.19
186,Monday,1139.0,1141.0,8082.0,201184.66,5936792.729999999
187,Tuesday,1114.0,1110.0,5585.0,156866.9,5757477.999999999
188,Wendsday,1118.0,1120.0,6826.0,162951.4,5830352.399999999
189,Thursday,1134.0,1135.0,4097.0,113893.34999999999,5867272.6
190,Friday,1138.0,1139.0,5772.0,161720.35,5921326.359999999
191,Saturday,945.0,948.0,3607.0,91225.05,4911008.369999999
192,Sunday,1097.0,1095.0,6374.0,162031.65,5717076.899999999
193,Monday,1134.0,1136.0,11587.0,244158.25,5930240.289999999
194,Tuesday,1083.0,1108.0,33024.0,492434.15,5788423.67
195,Wendsday,1113.0,1121.0,10255.0,249789.94999999998,5870779.139999999
196,Thursday,1126.0,1128.0,4862.0,148093.9,5868983.419999999
197,Friday,1139.0,1138.0,4870.0,135104.2,5906596.02
198,Saturday,918.0,946.0,21553.0,460073.10000000003,4973027.44
199,Sunday,1093.0,1090.0,13698.0,353629.51,5800554.089999999
200,Monday,1136.0,1138.0,6406.0,174377.37000000002,5942798.949999999
201,Tuesday,1113.0,1112.0,13622.0,297234.80000000005,5819681.879999999
202,Wendsday,1100.0,1123.0,18738.0,376333.4,5830749.169999999
203,Thursday,1107.0,1133.0,26086.0,472213.80000000005,5942536.069999999
204,Friday,1132.0,1132.0,7309.0,205528.75,5913684.029999998
205,Saturday,948.0,949.0,4844.0,146827.41,4946419.0
206,Sunday,1095.0,1097.0,5573.0,161677.90000000002,5733307.33
207,Monday,1139.0,1139.0,7497.0,204177.34999999998,5904848.759999999
208,Tuesday,1115.0,1114.0,10429.0,267109.55,5812536.409999999
209,Wendsday,1115.0,1123.0,7331.0,201580.81,5824749.659999998
210,Thursday,1129.0,1129.0,11770.0,245247.8,5868955.31
211,Friday,1080.0,1131.0,21297.0,323893.5,5887944.989999999
212,Saturday,942.0,946.0,6754.0,154291.6,4895570.339999999
213,Sunday,1091.0,1088.0,5818.0,182252.0,5670111.72
214,Monday,1137.0,1140.0,6559.0,164182.33000000002,5935335.169999999
215,Tuesday,1122.0,1121.0,4140.0,124038.90000000001,5785044.289999999
